,app_id,developer,publisher,description,interface_languages,full_audio_languages,subtitles_languages,english
10,440,Valve,Valve,"Nine distinct classes provide a broad range of tactical abilities and personalities. Constantly updated with new game modes, maps, equipment and, most importantly, hats!","['English', 'Danish', 'Dutch', 'Finnish', 'French', 'German', 'Italian', 'Japanese', 'Norwegian', 'Polish', 'Portuguese - Portugal', 'Russian', 'Simplified Chinese', 'Spanish - Spain', 'Swedish', 'Traditional Chinese', 'Korean', 'Czech', 'Hungarian', 'Portuguese - Brazil', 'Turkish', 'Greek', 'Bulgarian', 'Romanian', 'Thai', 'Ukrainian']",['English'],[],"(591,472)"
11,570,Valve,Valve,"Every day, millions of players worldwide enter battle as one of over a hundred Dota heroes. And no matter if it's their 10th hour of play or 1,000th, there's always something new to discover. With regular updates that ensure a constant evolution of gameplay, features, and heroes, Dota 2 has taken on a life of its own.","['English', 'Bulgarian', 'Czech', 'Danish', 'Dutch', 'Finnish', 'French', 'German', 'Greek', 'Hungarian', 'Italian', 'Japanese', 'Korean', 'Norwegian', 'Polish', 'Portuguese - Portugal', 'Portuguese - Brazil', 'Romanian', 'Russian', 'Simplified Chinese', 'Spanish - Spain', 'Swedish', 'Thai', 'Traditional Chinese', 'Turkish', 'Ukrainian', 'Spanish - Latin America', 'Vietnamese']","['English', 'Korean', 'Simplified Chinese']",[],"(664,187)"
12,1599340,Smilegate RPG,Amazon Games,"Embark on an odyssey for the Lost Ark in a vast, vibrant world: explore new lands, seek out lost treasures, and test yourself in thrilling action combat in this action-packed free-to-play RPG.","['English', 'French', 'German', 'Spanish - Spain']","['English', 'French', 'German', 'Spanish - Spain']","['English', 'French', 'German', 'Spanish - Spain']","(101,134)"
13,230410,Digital Extremes,Digital Extremes,Awaken as an unstoppable warrior and battle alongside your friends in this story-driven free-to-play online action game,"['English', 'German', 'French', 'Italian', 'Korean', 'Spanish - Spain', 'Simplified Chinese', 'Russian', 'Japanese', 'Polish', 'Portuguese - Brazil', 'Traditional Chinese', 'Turkish', 'Ukrainian']",['English'],"['English', 'German', 'French', 'Italian', 'Korean', 'Spanish - Spain', 'Simplified Chinese', 'Russian', 'Japanese', 'Polish', 'Portuguese - Brazil', 'Traditional Chinese', 'Turkish', 'Ukrainian']","(227,398)"
14,1433140,Sumo Digital,Gun Interactive,"Take on the role of one of the notorious Slaughter family, or their victims, in The Texas Chain Saw Massacre, a third-person asymmetrical horror experience based on the groundbreaking and iconic 1974 horror film. Experience the mad and macabre for yourself in The Texas Chain Saw Massacre.",['English'],['English'],['English'],"(5,977)"
15,236390,Gaijin Entertainment,Gaijin Distribution KFT,"War Thunder is the most comprehensive free-to-play, cross-platform, MMO military game dedicated to aviation, armoured vehicles, and naval craft, from the early 20th century to the most advanced modern combat units. Join now and take part in major battles on land, in the air, and at sea.","['English', 'German', 'French', 'Italian', 'Spanish - Spain', 'Simplified Chinese', 'Russian', 'Japanese', 'Polish', 'Czech', 'Turkish', 'Portuguese - Portugal', 'Korean', 'Portuguese - Brazil', 'Hungarian', 'Ukrainian', 'Traditional Chinese', 'Romanian']","['English', 'German', 'French', 'Italian', 'Spanish - Spain', 'Russian', 'Japanese', 'Polish', 'Czech', 'Turkish']","['English', 'German', 'French', 'Italian', 'Spanish - Spain', 'Simplified Chinese', 'Russian', 'Japanese', 'Polish', 'Czech', 'Turkish', 'Portuguese - Portugal', 'Korean', 'Portuguese - Brazil', 'Hungarian', 'Ukrainian', 'Traditional Chinese', 'Romanian']","(171,747)"
16,1091500,CD PROJEKT RED,CD PROJEKT RED,"Cyberpunk 2077 is an open-world, action-adventure RPG set in the dark future of Night City — a dangerous megalopolis obsessed with power, glamor, and ceaseless body modification.","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Czech', 'Hungarian', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Spanish - Latin America', 'Thai', 'Traditional Chinese', 'Turkish']","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese']","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Czech', 'Hungarian', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Spanish - Latin America', 'Thai', 'Traditional Chinese', 'Turkish']","(263,136)"
17,252490,Facepunch Studios,Facepunch Studios,"The only aim in Rust is to survive. Everything wants you to die - the island’s wildlife and other inhabitants, the environment, other survivors. Do whatever it takes to last another night.","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Russian', 'Simplified Chinese', 'Ukrainian', 'Polish', 'Portuguese - Portugal', 'Turkish', 'Arabic', 'Czech', 'Danish', 'Dutch', 'Finnish', 'Greek', 'Norwegian', 'Portuguese - Brazil', 'Spanish - Latin America', 'Swedish', 'Traditional Chinese', 'Vietnamese']","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Russian', 'Simplified Chinese', 'Ukrainian', 'Polish', 'Portuguese - Portugal', 'Turkish']","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Russian', 'Simplified Chinese', 'Ukrainian', 'Polish', 'Portuguese - Portugal', 'Turkish']","(501,700)"
18,1282100,Gunfire Games,Gearbox Publishing,Remnant II pits survivors of humanity against new deadly creatures and god-like bosses across terrifying worlds. Play solo or co-op with two other friends to explore the depths of the unknown to stop an evil from destroying reality itself.,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese']","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Russian', 'Simplified Chinese']","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese']","(18,555)"
19,1244090,Sabotage Studio,Sabotage Studio,"Sea of Stars is a turn-based RPG inspired by the classics. It tells the story of two Children of the Solstice who will combine the powers of the sun and moon to perform Eclipse Magic, the only force capable of fending off the monstrous creations of the evil alchemist known as The Fleshmancer.","['English', 'French', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Traditional Chinese']",[],"['English', 'French', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Traditional Chinese']","(1,120)"
20,39210,Square Enix,Square Enix,Take part in an epic and ever-changing FINAL FANTASY as you adventure and explore with friends from around the world.,"['English', 'French', 'German', 'Japanese']","['English', 'French', 'German', 'Japanese']","['English', 'French', 'German', 'Japanese']","(53,017)"
21,1997040,"Second Dinner Studios, Inc.",Nuverse,"MARVEL SNAP is a fast-paced Collectible Card Game that reimagines the genre with innovative mechanics. Winner of multiple awards like 'Best Strategy Game' and 'Breakthrough Game of the Year,' we invite you to join millions of players worldwide – Jump right in!","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Portuguese - Brazil', 'Simplified Chinese', 'Spanish - Latin America', 'Thai', 'Traditional Chinese', 'Indonesian']","['English', 'French', 'Japanese', 'Korean', 'Spanish - Latin America', 'Traditional Chinese']",[],"(9,676)"
22,306130,ZeniMax Online Studios,Bethesda Softworks,"Join over 22 million players in the award-winning online multiplayer RPG and experience limitless adventure in a persistent Elder Scrolls world. Battle, craft, steal, or explore, and combine different types of equipment and abilities to create your own style of play. No game subscription required.","['English', 'French', 'German', 'Russian', 'Spanish - Spain', 'Simplified Chinese']","['English', 'French', 'German']","['English', 'French', 'German', 'Russian', 'Spanish - Spain', 'Simplified Chinese']","(73,998)"
23,582660,Pearl Abyss,Pearl Abyss,"Played by over 20 million Adventurers - Black Desert Online is an open-world, action MMORPG. Experience intense, action-packed combat, battle massive world bosses, fight alongside friends to siege and conquer castles, and train in professions such as fishing, trading, crafting, cooking, and more!","['English', 'French', 'German', 'Spanish - Spain', 'Japanese', 'Russian', 'Thai', 'Turkish', 'Traditional Chinese', 'Portuguese - Brazil', 'Spanish - Latin America']","['English', 'Japanese', 'Russian', 'Traditional Chinese']","['English', 'French', 'German', 'Spanish - Spain', 'Japanese', 'Russian', 'Thai', 'Turkish', 'Traditional Chinese', 'Portuguese - Brazil', 'Spanish - Latin America']","(42,446)"
24,1817070,"Insomniac Games, Nixxes Software",PlayStation PC LLC,"In Marvel’s Spider-Man Remastered, the worlds of Peter Parker and Spider-Man collide in an original action-packed story. Play as an experienced Peter Parker, fighting big crime and iconic villains in Marvel’s New York. Web-swing through vibrant neighborhoods and defeat villains with epic takedowns.","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Czech', 'Danish', 'Dutch', 'Finnish', 'Greek', 'Hungarian', 'Japanese', 'Korean', 'Norwegian', 'Polish', 'Portuguese - Portugal', 'Portuguese - Brazil', 'Russian', 'Spanish - Latin America', 'Swedish', 'Traditional Chinese']","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Japanese', 'Polish', 'Portuguese - Portugal', 'Portuguese - Brazil', 'Russian', 'Spanish - Latin America']","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Czech', 'Danish', 'Dutch', 'Finnish', 'Greek', 'Hungarian', 'Japanese', 'Korean', 'Norwegian', 'Polish', 'Portuguese - Portugal', 'Portuguese - Brazil', 'Russian', 'Spanish - Latin America', 'Swedish', 'Traditional Chinese']","(43,846)"
25,2080690,Vector3 Studio,Vector3 Studio,"Get ready for a Waterworld-themed survival game with modular base building, sunken city scavenging, crafting, base defense, and invasions of NPC clans for resources and territory. Ready for the water apocalypse?","['English', 'Simplified Chinese', 'French', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Russian', 'Turkish']",[],[],"(1,709)"
26,739630,Kinetic Games,Kinetic Games,Phasmophobia is a 4 player online co-op psychological horror. Paranormal activity is on the rise and it’s up to you and your team to use all the ghost-hunting equipment at your disposal in order to gather as much evidence as you can.,"['English', 'Portuguese - Portugal', 'Spanish - Spain', 'Portuguese - Brazil', 'German', 'French', 'Italian', 'Bulgarian', 'Czech', 'Danish', 'Dutch', 'Finnish', 'Greek', 'Hungarian', 'Japanese', 'Korean', 'Norwegian', 'Polish', 'Romanian', 'Russian', 'Simplified Chinese', 'Swedish', 'Traditional Chinese', 'Turkish', 'Ukrainian', 'Catalan']",['English'],[],"(325,124)"
27,1222670,Maxis,Electronic Arts,Play with life and discover the possibilities. Unleash your imagination and create a world of Sims that’s wholly unique. Explore and customize every detail from Sims to homes–and much more.,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Czech', 'Danish', 'Dutch', 'Japanese', 'Norwegian', 'Polish', 'Portuguese - Brazil', 'Russian', 'Swedish', 'Finnish', 'Traditional Chinese', 'Simplified Chinese', 'Korean']",[],[],"(57,798)"
28,289070,"Firaxis Games, Aspyr (Mac), Aspyr (Linux)",2K,"Civilization VI is the newest installment in the award winning Civilization Franchise. Expand your empire, advance your culture and go head-to-head against history’s greatest leaders. Will your civilization stand the test of time?","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Traditional Chinese']","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Polish', 'Russian', 'Simplified Chinese', 'Traditional Chinese']","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Traditional Chinese']","(117,905)"
29,238960,Grinding Gear Games,Grinding Gear Games,"You are an Exile, struggling to survive on the dark continent of Wraeclast, as you fight to earn power that will allow you to exact your revenge against those who wronged you. Created by hardcore gamers, Path of Exile is an online Action RPG set in a dark fantasy world.","['English', 'Portuguese - Brazil', 'Russian', 'Thai', 'French', 'German', 'Spanish - Spain', 'Japanese']",['English'],"['English', 'Portuguese - Brazil', 'Russian', 'Thai', 'French', 'German', 'Spanish - Spain', 'Japanese']","(118,745)"
30,671860,"SgtOkiDoki, Vilaskis, TheLiquidHorse",SgtOkiDoki,"BattleBit Remastered is a low-poly, massive multiplayer FPS, supporting 254 players per server. Battle on a near-fully destructible map with various vehicles!","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Czech', 'Dutch', 'Finnish', 'Hungarian', 'Japanese', 'Korean', 'Norwegian', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Swedish', 'Traditional Chinese', 'Turkish', 'Ukrainian', 'Vietnamese', 'Belarusian', 'Estonian', 'Macedonian', 'Serbian', 'Slovak']",[],[],"(58,266)"
31,1245620,FromSoftware Inc.,FromSoftware Inc.,"THE NEW FANTASY ACTION RPG. Rise, Tarnished, and be guided by grace to brandish the power of the Elden Ring and become an Elden Lord in the Lands Between.","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Spanish - Latin America', 'Thai', 'Traditional Chinese']",['English'],"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Spanish - Latin America', 'Thai', 'Traditional Chinese']","(373,411)"
32,386360,Titan Forge Games,Hi-Rez Studios,"Join 40+ million players in SMITE, the Battleground of the Gods! Wield Thor’s hammer, or play as one of 125 other mythological icons. The New Season includes a New Map, New God, New BP &amp; a T5 Event! Become a God and play FREE today!","['English', 'French', 'German', 'Spanish - Spain', 'Polish', 'Russian', 'Portuguese - Brazil', 'Turkish', 'Simplified Chinese', 'Japanese']",['English'],[],"(63,002)"
33,435150,Larian Studios,Larian Studios,"The critically acclaimed RPG that raised the bar, from the creators of Baldur's Gate 3. Gather your party. Master deep, tactical combat. Venture as a party of up to four - but know that only one of you will have the chance to become a God.","['English', 'French', 'German', 'Russian', 'Polish', 'Spanish - Spain', 'Simplified Chinese', 'Traditional Chinese', 'Italian', 'Korean', 'Czech', 'Portuguese - Brazil', 'Japanese']",['English'],"['English', 'French', 'German', 'Russian', 'Polish', 'Spanish - Spain', 'Simplified Chinese', 'Traditional Chinese', 'Italian', 'Korean', 'Czech', 'Portuguese - Brazil', 'Japanese']","(82,038)"
34,397540,Gearbox Software,2K,"The original shooter-looter returns, packing bazillions of guns and a mayhem-fueled adventure! Blast through new worlds and enemies as one of four new Vault Hunters.","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Traditional Chinese']","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Simplified Chinese']","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Traditional Chinese']","(56,812)"
35,1142710,"CREATIVE ASSEMBLY, Feral Interactive",SEGA,"The cataclysmic conclusion to the Total War: WARHAMMER trilogy is here. Rally your forces and step into the Realm of Chaos, a dimension of mind-bending horror where the very fate of the world will be decided. Will you conquer your Daemons… or command them?","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Czech', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Traditional Chinese', 'Turkish']",['English'],"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Czech', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Traditional Chinese', 'Turkish']","(47,514)"
36,1326470,Endnight Games Ltd,Newnight ,"Sent to find a missing billionaire on a remote island, you find yourself in a cannibal-infested hellscape. Craft, build, and struggle to survive, alone or with friends, in this terrifying new open-world survival horror simulator.","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Czech', 'Finnish', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Swedish', 'Traditional Chinese', 'Turkish']",['English'],"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Czech', 'Finnish', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Swedish', 'Traditional Chinese', 'Turkish']","(72,243)"
37,1174180,Rockstar Games,Rockstar Games,"Winner of over 175 Game of the Year Awards and recipient of over 250 perfect scores, RDR2 is the epic tale of outlaw Arthur Morgan and the infamous Van der Linde gang, on the run across America at the dawn of the modern age. Also includes access to the shared living world of Red Dead Online.","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Polish', 'Portuguese - Portugal', 'Russian', 'Simplified Chinese', 'Spanish - Latin America', 'Traditional Chinese']",['English'],"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Polish', 'Portuguese - Portugal', 'Russian', 'Simplified Chinese', 'Spanish - Latin America', 'Traditional Chinese']","(157,823)"
38,1364780,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.","Here comes Capcom’s newest challenger! Street Fighter™ 6 launches worldwide on June 2nd, 2023 and represents the next evolution of the Street Fighter™ series! Street Fighter 6 spans three distinct game modes, including World Tour, Fighting Ground and Battle Hub.","['English', 'Japanese', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Portuguese - Brazil', 'Polish', 'Russian', 'Simplified Chinese', 'Traditional Chinese', 'Korean']","['English', 'Japanese']","['English', 'Japanese', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Portuguese - Brazil', 'Polish', 'Russian', 'Simplified Chinese', 'Traditional Chinese', 'Korean']","(13,706)"
39,1171690,Airship Syndicate,Digital Extremes,"Become a Wayfinder, and unlock their powers as you choose your path and playstyle while pushing back a hostile force that has overtaken your world. Control the Chaos as you directly shape and customize the endless adventures you go on with friends, because Wayfinders are stronger together.","['English', 'French', 'Italian', 'German', 'Japanese', 'Spanish - Latin America', 'Korean', 'Polish', 'Portuguese - Brazil', 'Traditional Chinese', 'Spanish - Spain']","['English', 'French', 'German', 'Japanese', 'Spanish - Latin America', 'Korean', 'Portuguese - Brazil', 'Traditional Chinese', 'Spanish - Spain']","['English', 'French', 'Italian', 'German', 'Japanese', 'Spanish - Latin America', 'Korean', 'Polish', 'Portuguese - Brazil', 'Traditional Chinese', 'Spanish - Spain']","(7,606)"
40,270880,SCS Software,SCS Software,"Experience legendary American trucks and deliver various cargoes across sunny California, sandy Nevada, and the Grand Canyon State of Arizona. American Truck Simulator takes you on a journey through the breathtaking landscapes and widely recognized landmarks around the States.","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Bulgarian', 'Czech', 'Danish', 'Dutch', 'Finnish', 'Greek', 'Hungarian', 'Japanese', 'Korean', 'Norwegian', 'Polish', 'Portuguese - Portugal', 'Portuguese - Brazil', 'Romanian', 'Russian', 'Simplified Chinese', 'Swedish', 'Turkish', 'Ukrainian', 'Traditional Chinese']",[],[],"(72,368)"
41,1817190,"Insomniac Games, Nixxes Software",PlayStation PC LLC,"After the events of Marvel’s Spider-Man Remastered, teenage Miles Morales is adjusting to his new home while following in the footsteps of his mentor, Peter Parker, as a new Spider-Man. When a fierce power struggle threatens to destroy his home, Miles must take up the mantle of Spider-Man and own it","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Czech', 'Danish', 'Dutch', 'Finnish', 'Greek', 'Hungarian', 'Japanese', 'Korean', 'Norwegian', 'Polish', 'Portuguese - Brazil', 'Portuguese - Portugal', 'Russian', 'Simplified Chinese', 'Spanish - Latin America', 'Swedish', 'Traditional Chinese']","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Japanese', 'Polish', 'Portuguese - Brazil', 'Portuguese - Portugal', 'Russian', 'Spanish - Latin America']","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Czech', 'Danish', 'Dutch', 'Finnish', 'Greek', 'Hungarian', 'Japanese', 'Korean', 'Norwegian', 'Polish', 'Portuguese - Brazil', 'Portuguese - Portugal', 'Russian', 'Simplified Chinese', 'Spanish - Latin America', 'Swedish', 'Traditional Chinese']","(13,751)"
42,281990,Paradox Development Studio,Paradox Interactive,"Explore a galaxy full of wonders in this sci-fi grand strategy game from Paradox Development Studios. Interact with diverse alien races, discover strange new worlds with unexpected events and expand the reach of your empire. Each new adventure holds almost limitless possibilities.","['English', 'French', 'German', 'Spanish - Spain', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Japanese', 'Korean']",[],[],"(83,961)"
